,label,text
0,ham,go jurong point crazy Available bugis n great world la e buffet Cine get amore wat
1,ham,ok lar Joking wif u oni
2,spam,free entry wkly comp win FA Cup final tkts st May Text FA receive entry questionstd txt ratetcs apply over
3,ham,U dun say early hor U c already say
4,ham,Nah I do not think go usf live around though
5,spam,FreeMsg hey darle week no word back I d like fun still tb ok XxX std chgs send å£ rcv
6,ham,even brother not like speak they treat like aids patent
7,ham,as per request Melle Melle Oru Minnaminunginte Nurungu Vettam set callertune Callers Press copy friend Callertune
8,spam,WINNER as value network customer select receivea å£ prize reward to claim call Claim code KL Valid hour
9,spam,have mobile month U r entitle Update late colour mobile camera Free Call the Mobile Update Co FREE
10,ham,I m go to home soon do not want talk stuff anymore tonight k I ve cry enough today
11,spam,six chance win cash from pound txt CSH send Cost pday day TsandCs apply Reply hl info
12,spam,URGENT you week free membership å£ Prize Jackpot Txt word CLAIM no tc wwwdbuknet LCCLTD pobox LDNWARW
13,ham,I ve search right word thank breather I promise will not take help grant fulfil promise you wonderful blessing time
14,ham,I have a date on SUNDAY with WILL
15,spam,xxxmobilemovieclub to use credit click WAP link next txt message click httpwap xxxmobilemovieclubcomnQJKGIGHJJGCBL
16,ham,oh kim watch
17,ham,eh u remember spell name yes he v naughty make v wet
18,ham,fine thatåõs way u feel ThatåÕs way gota b
19,spam,England v Macedonia do not miss goalsteam news Txt ur national team eg ENGLAND trywales SCOTLAND txtÌ¼ poboxoxwwq
20,ham,be seriously spell name
21,ham,iû÷m go try month ha ha joke
22,ham,so Ì pay first lar then da stock comin
23,ham,Aft finish lunch go str lor Ard smth lor U finish ur lunch already
24,ham,ffffffffff alright no way I meet soon
25,ham,just force eat slice I m really not hungry tho this suck Mark getting worried he know I m sick I turn pizza lol
26,ham,Lol always convince
27,ham,do catch bus be fry egg do make tea be eat mom leave dinner do feel Love
28,ham,I m back amp packing car Ill let know there s room
29,ham,Ahhh Work I vaguely remember what feel like lol
30,ham,wait that s still not clear not sure sarcastic that s x do not want live we
31,ham,yeah get v apologetic n fall actin like spoilt child got catch till but will not go not badly cheer you
32,ham,K tell anything
33,ham,for fear fainting housework Quick cuppa
34,spam,thank subscription Ringtone UK mobile charge å£ month please confirm reply yes no if reply no not charge
35,ham,yup ok go home look timing msg Ì Xuhui go learn nd may lesson be
36,ham,Oops Ill let know roommate do
37,ham,I see letter b car
38,ham,anything lor U decide
39,ham,hello how s saturday go I texte see you d decide anything tomo not I m try invite anything
40,ham,pls go ahead watt I want sure do great weekend Abiola
41,ham,do I forget tell I want I need I crave but I love sweet Arabian stee Mmmmmm Yummy
42,spam,rodger Burns MSG we try call reply sm free nokia mobile free camcorder please call delivery tomorrow
43,ham,who be you see
44,ham,great I hope like man well endow I ltgt inch
45,ham,no callsmessagesmisse call
46,ham,do not get hep b immunisation nigeria
47,ham,fair enough anything go
48,ham,yeah hopefully tyler can not I could maybe ask around bit
49,ham,u do not know stubborn I I do not even want go hospital I keep tell Mark I m not weak sucker hospital weak sucker
50,ham,what think first time see class
51,ham,a gram usually run like ltgt half eighth smart though get almost whole second gram ltgt
52,ham,K fyi x ride early tomorrow morning he s crash place tonight
53,ham,wow I never realize embarassed accomodation I think like since well could always seem happy cave I m sorry I do not do not give I m sorry offer I m sorry room embarasse
